A,AAL,AAP,AAPL,ABT,ACN,ADBE,ADI,ADM,ADP
23.66558838,3.827530384,35.85768127,5.59719944,18.50905418,30.12127495,43.52999878,23.65594482,25.61013985,25.27323532
23.73617172,3.950087309,35.89307022,5.59176302,18.59872627,29.84771156,44.25,24.11307335,25.40350342,25.46673203
24.15969658,4.166916847,36.94640732,5.719790459,18.50905418,30.3356781,43.88999939,24.22062492,25.63679504,25.86548805
23.42816925,3.884094715,35.67177963,5.605350971,18.18689346,29.48543739,42.29999924,23.39377594,24.79690933,24.85689926
23.69126129,3.695546627,36.36219788,5.483667374,18.19353676,28.98266983,42.47000122,23.29966545,25.03022003,25.21459579
23.5821743,3.563562632,36.0789566,5.605350971,18.01087379,29.15272713,41.74000168,22.82909775,24.74358559,25.29082108
23.26132011,3.016772747,34.38832092,5.459511757,17.76842117,28.51687431,40.77000046,22.07619667,24.8502388,24.9425087
23.67201424,2.535974503,34.36174774,5.231541634,17.91122246,28.73128128,40.99000168,22.23080635,22.3438797,25.14914322
23.94152069,2.696240187,34.77778244,5.204666138,17.97101593,28.97526932,42.70999908,22.80893135,21.73728752,25.46792793
23.96718979,2.93192625,36.7782402,5.339638233,18.04407501,29.25622559,42.84999847,23.02404594,21.73728752,25.52106857
24.0056839,3.073337317,36.48613739,5.478232861,17.79166412,29.01223564,41.40000153,22.68792915,22.0772419,25.32624626
23.98643684,2.837651968,35.50216293,5.397310257,17.63888741,28.70910454,40.93999863,22.04257774,21.87726784,25.0605793
24.32011604,3.337305307,36.12268066,5.462227821,17.9809761,29.32277298,42,22.70809364,22.0772419,25.33804893
24.10835457,2.969635963,35.43124771,5.292233467,17.7185955,28.9235096,40.54999924,22.35181618,21.77727699,25.14914322
23.79393005,2.394563198,34.70436478,5.228520393,18.03079414,28.7904377,40.36999893,22.06948662,22.33055305,25.03696823
23.50516319,2.300289154,34.27000427,5.231239319,17.85144997,28.34681702,41.38000107,22.25097656,22.10391235,24.83625793
23.70409012,2.432273149,35.52875519,5.356245041,17.7783947,29.10834885,42.34000015,22.47280502,22.21722794,25.06648254
22.90838814,2.309716702,35.01464081,5.08056879,17.51600266,28.7238884,40.83000183,21.51151848,21.67063332,24.71817589
22.83781242,2.309716702,34.92599106,5.135824203,17.60235786,30.56488419,39.79999924,21.30985451,21.94392395,24.58239937
22.80571747,2.356853724,34.42071152,5.05580616,17.59239578,30.10648346,39.38999939,21.35690308,22.49719238,24.7358799
22.82497025,2.272006273,34.63344193,5.274416447,18.00422287,29.84771156,40.38000107,21.32329369,22.19723129,25.16684341
22.69021606,2.234296799,32.94920349,5.07815218,18.01418686,29.90686798,39.81000137,21.00061989,21.43733597,24.85396194
22.28595734,2.262579679,32.91374588,5.13672924,18.18357277,29.87728882,40.38999939,20.64433479,20.77741432,24.84215927
22.50412941,2.328572512,33.62290573,5.288910389,17.99757957,29.47063637,39.72000122,20.78550529,21.27067566,24.85986519
23.0559845,2.545402288,34.20796585,5.42146492,19.05372047,30.31349754,39.63999939,20.87962341,21.35066795,25.1786499
22.51695824,2.460555315,33.26834488,5.261433125,18.9009552,29.5741539,38.22999954,19.99226761,20.99738121,24.7536087
22.69663429,2.281434298,33.07330704,5.333295822,19.04708481,29.56674576,39.61000061,20.23427391,20.83073997,24.81854057
22.90196991,2.055176497,32.63008118,5.211008072,18.85991859,28.88654709,39.24000168,20.39561653,20.19081688,24.48203468
